image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.86102,bus,van,False
drive_022,2,5,0.69779,truck,bus,False
drive_022,3,3,0.763936,car,car,True
drive_022,4,4,0.642666,car,car,True
drive_022,5,1,0.831502,car,car,True
drive_033,1,3,0.729492,car,car,True
drive_033,2,4,0.658773,car,car,True
drive_033,3,7,0.762898,car,car,True
drive_033,4,5,0.732099,car,car,True
drive_033,5,9,0.818564,car,car,True
drive_033,7,6,0.761275,car,car,True
drive_033,8,8,0.897528,car,car,True
drive_033,15,11,0.864642,car,car,True
drive_033,16,10,0.835878,car,car,True
drive_033,17,2,0.864602,truck,bus,False
drive_033,18,1,0.946938,bus,van,False
drive_038,1,2,0.927593,car,car,True
drive_038,2,3,0.868016,car,car,True
drive_038,3,8,0.829607,car,car,True
drive_038,4,7,0.793657,car,car,True
drive_038,5,6,0.842037,car,car,True
drive_038,8,13,0.788466,car,car,True
drive_038,9,14,0.858271,car,car,True
drive_038,10,10,0.849282,car,car,True
drive_038,11,11,0.905182,car,car,True
drive_038,15,5,0.91143,van,bus,False
drive_038,16,15,0.868838,van,truck,False
drive_038,19,9,0.779822,van,bus,False
drive_008,1,1,0.788653,truck,bus,False
drive_008,2,9,0.922529,bus,van,False
drive_008,4,12,0.814762,van,truck,False
drive_008,5,3,0.903699,van,truck,False
drive_008,6,5,0.840614,van,truck,False
drive_008,7,11,0.87985,car,car,True
drive_008,8,6,0.877113,car,car,True
drive_008,9,4,0.910155,car,car,True
drive_008,10,2,0.837098,car,car,True
drive_008,15,15,0.160564,car,car,True
drive_008,16,14,0.869478,car,car,True
drive_008,17,13,0.757361,car,car,True
drive_008,20,16,0.887524,car,car,True
